Temp,DO,pH,BOD,NITRATE_N_NITRITE_N,WQI
25.7,7.1,7.1,1.3,1.4,8.2004
24.3,8.1,6.7,1.3,0.4,8.007
24,7.7,6.6,1.3,1.6,8.025
25,7.7,6.9,1.2,1.3,8.181
25.5,7.3,6.5,1.7,0.6,8.051
26.9,5.8,7.1,1.3,1.6,8.063
29,5.3,6.8,2.3,0.8,8.255
17.5,6.2,6.8,1.6,1.3,6.525
15.1,6.3,6.8,1,1.4,6.054
13.3,4.9,6.8,1.7,1.8,5.544
27.3,6.7,7.4,3,0.3,8.528
28.8,7.6,7.6,2.4,0.3,8.966
23,7.7,7,0.8,1.4,7.792
23.4,3,7.6,33.2,0,12.407
15.1,7.7,7.6,1.4,0,6.4435
22.6,2.8,7.1,18.4,0,9.3688
23.6,0.8,6.8,37.5,0,12.4586
23.3,2.4,7.2,35.7,0,12.6083
23.7,1.8,7.3,30.4,0,11.5359
22.3,7.9,7.1,6.4,0,8.5549
26.9,6.9,8,4.1,0.3,8.8347
22.8,0,7.5,72.1,7.3,19.896
26.9,6.2,7.9,5.1,0.3,8.8005
22.9,8,8,2.6,0,8.1457
23.3,3.3,8.4,36.5,0,13.2395
26.8,7.3,13.2,3.7,0.1,9.791
23,7.8,8.2,2.9,0,8.198
25.8,8.7,8.1,2.7,1.3,9.094
25.9,8,8,3.3,1.6,9.054
25,2.6,7.6,9.5,4,8.832
22.7,7.7,8.2,3.3,0,8.1929
22.9,7.8,8.1,3,0,8.1811
20.8,7.5,8,3.4,0.4,7.863
21,7.1,8.1,2.8,0.3,7.672
20.3,9.2,7.7,2.7,0.7,8.133
23,7.7,8.1,2.9,0.3,8.201
21.6,7.5,8.1,3.4,0.4,8.017
23.2,8.6,8.2,2.2,0,8.3489
24.5,7.6,8.1,2.4,0.6,8.383
24.5,7.9,8.1,2.3,0.6,8.451
22.6,8.1,8.1,1.9,0,8.0122
19,8.2,7.6,2.1,0,7.3768
23,8.3,8,2.2,0,8.1746
23.2,7.7,7.8,2.2,0,7.9984
22.3,8.6,8.1,2,0,8.1241
23,8.4,8.1,1.8,0,8.1476
23.2,7.9,8,2.1,0,8.0746
23.1,16.3,8.1,2,0,10.4769
23.8,8,7.4,2,0,8.0746
22.4,6.5,7.5,3.5,0,7.7036
23.3,4.2,7.3,7.1,0,7.8257
25.6,4.3,7.1,30,0,12.4654
23.3,8,8,2.4,0,8.1761
24.1,4.4,7.2,4.7,0,7.5535
22.1,8.1,8.1,1.8,0,7.9091
18.5,8.6,8.1,2.1,0,7.5005
23,7.9,7.8,2.2,0,8.0222
18,8.8,8.2,2,0,7.4736
22.3,5.6,7.4,3.5,0,7.4089
24.8,7,7.4,2,0,7.9556
